"No.","Time","Source","Destination","Protocol","Length","Info"
"1505","42.932809600","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1506","42.932842300","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1507","42.932868200","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1508","42.932914300","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1509","42.932941500","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1510","42.932962300","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1511","42.933002000","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1512","42.933020200","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1513","42.933036600","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1514","42.933059000","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1515","42.933074200","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1516","42.933090800","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1517","42.993315200","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14018 Ack=52138 Win=520 Len=0"
"1518","42.993367400","10.33.98.162","204.80.128.1","TLSv1.2","189","Application Data, Application Data, Application Data"
"1519","43.057622800","10.33.98.162","172.253.118.188","TCP","66","[TCP Retransmission] 63550  >  5228 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"1520","43.066921600","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14018 Ack=52273 Win=520 Len=0"
"1521","43.624016000","Cisco_f5:74:20","Broadcast","ARP","60","Gratuitous ARP for 10.33.78.90 (Reply)"
"1522","45.869393200","Cisco_f5:74:20","Broadcast","ARP","60","ARP Announcement for 10.33.93.206"
"1523","46.494088700","204.80.128.1","10.33.98.162","TLSv1.2","94","Application Data"
"1524","46.494194100","10.33.98.162","204.80.128.1","TLSv1.2","103","Application Data"
"1525","46.494274300","10.33.98.162","35.208.142.93","UDP","79","9993  >  21049 Len=37"
"1526","46.494294900","10.33.98.162","35.208.142.93","UDP","79","30061  >  21049 Len=37"
"1527","46.494312400","10.33.98.162","35.208.142.93","UDP","79","55933  >  21049 Len=37"
"1528","46.544616100","204.80.128.1","10.33.98.162","TCP","60","443  >  63539 [ACK] Seq=14058 Ack=52322 Win=520 Len=0"
"1529","46.673563600","20.195.84.7","10.33.98.162","TLSv1.2","158","Application Data"
"1530","46.720974600","10.33.98.162","20.195.84.7","TCP","54","65255  >  443 [ACK] Seq=1548 Ack=1686 Win=253 Len=0"
"1531","46.734711000","142.250.198.174","10.33.98.162","TLSv1.2","284","Application Data"
"1532","46.734893800","10.33.98.162","142.250.198.174","TLSv1.2","89","Application Data"
"1533","46.734931000","10.33.98.162","142.250.198.174","TLSv1.2","89","Application Data"
"1534","46.766525300","142.250.198.174","10.33.98.162","TCP","60","443  >  53732 [ACK] Seq=527 Ack=106 Win=528 Len=0"
"1535","46.766525300","142.250.198.174","10.33.98.162","TCP","60","443  >  53732 [ACK] Seq=527 Ack=141 Win=528 Len=0"
"1536","47.990447800","10.33.98.162","204.80.128.1","TLSv1.2","94","Application Data"
"1537","47.990545000","10.33.98.162","123.16.110.247","UDP","70","9993  >  63138 Len=28"
"1538","47.990564400","10.33.98.162","123.16.110.247","UDP","70","30061  >  63138 Len=28"
"1539","47.990584400","10.33.98.162","123.16.110.247","UDP","70","55933  >  63138 Len=28"
"1540","47.990618500","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1541","47.990637900","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1542","47.990656200","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1543","47.990675700","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1544","47.990690100","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1545","47.990704800","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1546","47.990727200","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
"1547","47.990739100","10.33.98.162","79.127.159.187","UDP","75","30061  >  9993 Len=33"
"1548","47.990752300","10.33.98.162","79.127.159.187","UDP","75","55933  >  9993 Len=33"
"1549","47.990771700","10.33.98.162","79.127.159.187","UDP","75","9993  >  9993 Len=33"
